left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y,gaze_direction,status_L,status_R
458.28040916166333,1579.2636360748436,887.7198852464301,1563.4674918608773,Looking center,Unknown,Unknown
458.28040916166333,1579.2636360748436,887.7198852464301,1563.4674918608773,Looking center,Fixation,Fixation
448.89007236544546,1540.278132066938,920.7712491986648,1535.1936910051506,Looking center,Saccade,Saccade
448.89007236544546,1540.278132066938,920.7712491986648,1535.1936910051506,Looking center,Fixation,Fixation
461.0964720194647,1508.3298661800486,956.8814170604214,1508.1617019333926,Looking center,Saccade,Saccade
-1,-1,-1,-1,Unknown,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
461.0964720194647,1508.3298661800486,956.8814170604214,1508.1617019333926,Looking center,Unknown,Unknown
542.8374879911007,1571.0876270415129,1069.563870281765,1576.9157682083999,Looking center,Saccade,Saccade
-1,-1,-1,-1,Unknown,Saccade,Saccade
542.8374879911007,1571.0876270415129,1069.563870281765,1576.9157682083999,Looking center,Unknown,Unknown
606.6057658085182,1510.6378771700874,980.2453810412322,1502.7639849266454,Looking center,Unknown,Unknown
606.6057658085182,1510.6378771700874,980.2453810412322,1502.7639849266454,Looking center,Fixation,Fixation
614.2870481686302,1507.630640378296,982.5660653889515,1500.499624201428,Looking center,Fixation,Fixation
614.2870481686302,1507.630640378296,982.5660653889515,1500.499624201428,Looking center,Fixation,Fixation
607.834111192991,1504.5108490952264,978.0785115916618,1497.4633937268654,Looking center,Fixation,Fixation
607.834111192991,1504.5108490952264,978.0785115916618,1497.4633937268654,Looking center,Fixation,Fixation
598.0229317116432,1478.78436589383,968.7871864817762,1471.8752746836403,Looking center,Fixation,Fixation
598.0229317116432,1478.78436589383,968.7871864817762,1471.8752746836403,Looking center,Fixation,Fixation
591.4006681724073,1483.868530020704,970.1547814004268,1475.0405935189322,Looking center,Fixation,Fixation
591.4006681724073,1483.868530020704,970.1547814004268,1475.0405935189322,Looking center,Fixation,Fixation
583.553182137834,1474.0179324894514,954.1570525932997,1466.6501204600208,Looking center,Fixation,Fixation
583.553182137834,1474.0179324894514,954.1570525932997,1466.6501204600208,Looking center,Fixation,Fixation
589.4162893858326,1477.6760415237572,957.0492170022371,1470.9644251436594,Looking center,Fixation,Fixation
589.4162893858326,1477.6760415237572,957.0492170022371,1470.9644251436594,Looking center,Fixation,Fixation
592.859900555718,1480.1761236228917,959.5700205338809,1474.0663472507415,Looking center,Fixation,Fixation
592.859900555718,1480.1761236228917,959.5700205338809,1474.0663472507415,Looking center,Fixation,Fixation
592.8527018661007,1491.4484832404705,960.4638087606837,1485.3997061965813,Looking center,Fixation,Fixation
592.8527018661007,1491.4484832404705,960.4638087606837,1485.3997061965813,Looking center,Fixation,Fixation
583.8447682119205,1500.5975717439294,948.0716300802256,1494.2328308207705,Looking center,Fixation,Fixation
583.8447682119205,1500.5975717439294,948.0716300802256,1494.2328308207705,Looking center,Fixation,Fixation
558.8965848151284,1536.5809201241887,936.2563211735186,1523.5663642797401,Blinking,Saccade,Saccade
558.8965848151284,1536.5809201241887,936.2563211735186,1523.5663642797401,Blinking,Fixation,Fixation
570.7734754956978,1501.5276842499065,938.2759796366354,1492.183970856102,Looking center,Saccade,Saccade
570.7734754956978,1501.5276842499065,938.2759796366354,1492.183970856102,Looking center,Fixation,Fixation
564.812118548899,1506.6788731018994,932.458599611003,1498.0939612855423,Blinking,Fixation,Fixation
564.812118548899,1506.6788731018994,932.458599611003,1498.0939612855423,Blinking,Fixation,Fixation
551.2831822759315,1530.8831822759316,922.7739058629232,1522.4764106798789,Blinking,Fixation,Fixation
551.2831822759315,1530.8831822759316,922.7739058629232,1522.4764106798789,Blinking,Fixation,Fixation
572.2282837170651,1523.6454514347167,940.6752010260964,1515.6634107838784,Looking center,Fixation,Fixation
572.2282837170651,1523.6454514347167,940.6752010260964,1515.6634107838784,Looking center,Fixation,Fixation
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
1037.2196342305037,1484.6002415458938,1209.9523583412472,1444.7790440012661,Looking left,Unknown,Unknown
1037.2196342305037,1484.6002415458938,1209.9523583412472,1444.7790440012661,Looking left,Fixation,Fixation
451.86570743405275,1380.6941740725067,699.4991376336668,1391.769115787053,Blinking,Saccade,Saccade
451.86570743405275,1380.6941740725067,699.4991376336668,1391.769115787053,Blinking,Fixation,Fixation
716.5017889087657,1765.2063208109719,1047.313770094025,1789.1004953998583,Looking center,Saccade,Saccade
716.5017889087657,1765.2063208109719,1047.313770094025,1789.1004953998583,Looking center,Fixation,Fixation
566.8800904977376,1592.6205305651672,950.1979478797784,1576.9951875056752,Blinking,Saccade,Saccade
566.8800904977376,1592.6205305651672,950.1979478797784,1576.9951875056752,Blinking,Fixation,Fixation
518.9955146893923,1562.867309561187,929.0837088908919,1570.4314636344727,Looking center,Unknown,Unknown
518.9955146893923,1562.867309561187,929.0837088908919,1570.4314636344727,Looking center,Fixation,Fixation
672.3766370439663,1414.2290302463362,1060.1136204481793,1437.4192051820728,Looking center,Saccade,Saccade
672.3766370439663,1414.2290302463362,1060.1136204481793,1437.4192051820728,Looking center,Fixation,Fixation
-1,-1,-1,-1,Unknown,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
293.61539145116853,1536.4038567493112,932.1877009995654,1586.548645516442,Looking center,Unknown,Unknown
293.61539145116853,1536.4038567493112,932.1877009995654,1586.548645516442,Looking center,Fixation,Fixation
-1,-1,-1,-1,Unknown,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
603.4195551541154,1564.3848933047307,979.0825791444045,1575.5978991749355,Looking center,Unknown,Unknown
603.4195551541154,1564.3848933047307,979.0825791444045,1575.5978991749355,Looking center,Fixation,Fixation
-1,-1,-1,-1,Unknown,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
294.86748017083585,1585.8476510067114,865.8109038904942,1551.6297755596415,Blinking,Unknown,Unknown
294.86748017083585,1585.8476510067114,865.8109038904942,1551.6297755596415,Blinking,Fixation,Fixation
331.96858960456876,1545.6198583098387,972.5972669088393,1543.3494551115723,Blinking,Saccade,Saccade
331.96858960456876,1545.6198583098387,972.5972669088393,1543.3494551115723,Blinking,Fixation,Fixation
450.37338879959657,1377.1869150042546,850.7614763857653,1351.3410063059487,Looking center,Saccade,Saccade
450.37338879959657,1377.1869150042546,850.7614763857653,1351.3410063059487,Looking center,Fixation,Fixation
614.7877272132862,1480.8811625474043,1088.1956841008148,1502.3298275535342,Looking center,Saccade,Saccade
614.7877272132862,1480.8811625474043,1088.1956841008148,1502.3298275535342,Looking center,Fixation,Fixation
408.1226701343736,1542.6774165583008,826.9095164536816,1533.1631793287459,Blinking,Saccade,Saccade
408.1226701343736,1542.6774165583008,826.9095164536816,1533.1631793287459,Blinking,Fixation,Fixation
517.6677181913775,1480.9295478443744,923.4730889973146,1483.7516169295359,Blinking,Saccade,Saccade
517.6677181913775,1480.9295478443744,923.4730889973146,1483.7516169295359,Blinking,Fixation,Fixation
534.5081652257445,1440.9957141801522,945.0779345734445,1437.8858598816905,Looking center,Saccade,Saccade
522.9610536605443,1614.2968822349128,1005.2997952053969,1609.679243464643,Looking center,Unknown,Unknown
522.9610536605443,1614.2968822349128,1005.2997952053969,1609.679243464643,Looking center,Fixation,Fixation
472.04349938552116,1447.3127840178342,961.4026634136424,1420.8805021856258,Looking center,Saccade,Saccade
472.04349938552116,1447.3127840178342,961.4026634136424,1420.8805021856258,Looking center,Fixation,Fixation
496.4601179941003,1511.2959587020648,954.2683779556537,1504.258318765909,Looking center,Saccade,Saccade
496.4601179941003,1511.2959587020648,954.2683779556537,1504.258318765909,Looking center,Fixation,Fixation
500.36614757137556,1508.1442608188993,978.0319170930893,1505.4907737633741,Looking center,Fixation,Fixation
500.36614757137556,1508.1442608188993,978.0319170930893,1505.4907737633741,Looking center,Fixation,Fixation
481.26954317820935,1498.5642481983632,954.4495215191142,1497.7298461846785,Looking center,Fixation,Fixation
481.26954317820935,1498.5642481983632,954.4495215191142,1497.7298461846785,Looking center,Fixation,Fixation
476.37517683674434,1488.9319689396084,949.901379329878,1490.4992777636162,Blinking,Fixation,Fixation
476.37517683674434,1488.9319689396084,949.901379329878,1490.4992777636162,Blinking,Fixation,Fixation
460.64182751038356,1483.267611369004,943.131300005096,1480.138001324976,Looking center,Fixation,Fixation
460.64182751038356,1483.267611369004,943.131300005096,1480.138001324976,Looking center,Fixation,Fixation
464.5317221490816,1477.8903203560906,951.5583641195152,1476.3257826171496,Blinking,Fixation,Fixation
464.5317221490816,1477.8903203560906,951.5583641195152,1476.3257826171496,Blinking,Fixation,Fixation
464.9794389266423,1466.3821223209618,952.0124116302557,1470.7935470153618,Looking center,Fixation,Fixation
464.9794389266423,1466.3821223209618,952.0124116302557,1470.7935470153618,Looking center,Fixation,Fixation
471.9034768546594,1489.0054915436965,939.1376191640186,1481.216450745539,Blinking,Fixation,Fixation
471.9034768546594,1489.0054915436965,939.1376191640186,1481.216450745539,Blinking,Fixation,Fixation
459.5556852067937,1477.986192143135,927.2194548526927,1470.8788847255896,Blinking,Fixation,Fixation
459.5556852067937,1477.986192143135,927.2194548526927,1470.8788847255896,Blinking,Fixation,Fixation
460.38537513355743,1470.1867980090167,966.6559788069791,1473.739837398374,Looking center,Fixation,Saccade
460.38537513355743,1470.1867980090167,966.6559788069791,1473.739837398374,Looking center,Fixation,Fixation
473.9262403320128,1459.238382695089,940.6218537516402,1460.1264463795778,Blinking,Fixation,Fixation
473.9262403320128,1459.238382695089,940.6218537516402,1460.1264463795778,Blinking,Fixation,Fixation
467.4311083894672,1477.665966815385,965.0818297672547,1493.1224539987033,Looking center,Fixation,Saccade
467.4311083894672,1477.665966815385,965.0818297672547,1493.1224539987033,Looking center,Fixation,Fixation
452.81403141361255,1533.8897731239092,922.5177888095977,1524.5185127727789,Blinking,Saccade,Saccade
452.81403141361255,1533.8897731239092,922.5177888095977,1524.5185127727789,Blinking,Fixation,Fixation
465.7567024801687,1527.3340696857115,928.8183652875883,1519.0232088799194,Blinking,Fixation,Fixation
465.7567024801687,1527.3340696857115,928.8183652875883,1519.0232088799194,Blinking,Fixation,Fixation
476.40288458829826,1509.6571171018902,954.5520962093119,1518.6041666666667,Looking center,Fixation,Fixation
476.40288458829826,1509.6571171018902,954.5520962093119,1518.6041666666667,Looking center,Fixation,Fixation
481.6334027853931,1514.4533391819277,948.5623843643825,1521.3084064991422,Blinking,Fixation,Fixation
481.6334027853931,1514.4533391819277,948.5623843643825,1521.3084064991422,Blinking,Fixation,Fixation
472.5465412704974,1493.8306462725643,958.4111269455389,1503.2862212535279,Looking center,Fixation,Fixation
472.5465412704974,1493.8306462725643,958.4111269455389,1503.2862212535279,Looking center,Fixation,Fixation
479.83501219687184,1478.5399339933992,978.6495809416012,1487.3714393510659,Looking center,Fixation,Fixation
479.83501219687184,1478.5399339933992,978.6495809416012,1487.3714393510659,Looking center,Fixation,Fixation
469.7540916271722,1470.330205371248,963.0598182868547,1484.5810619190167,Blinking,Fixation,Fixation
469.7540916271722,1470.330205371248,963.0598182868547,1484.5810619190167,Blinking,Fixation,Fixation
474.42226561004554,1563.187779947169,968.1069468296461,1558.3336363942485,Blinking,Saccade,Saccade
474.42226561004554,1563.187779947169,968.1069468296461,1558.3336363942485,Blinking,Fixation,Fixation
-1,-1,-1,-1,Unknown,Saccade,Saccade
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
-1,-1,-1,-1,Unknown,Unknown,Unknown
465.1571653093299,1485.3503000428632,901.9007289007288,1479.3533873533875,Blinking,Unknown,Unknown
465.1571653093299,1485.3503000428632,901.9007289007288,1479.3533873533875,Blinking,Fixation,Fixation
476.49749865312094,1482.5846224890327,950.3033654818912,1480.1971628335693,Looking center,Fixation,Saccade
476.49749865312094,1482.5846224890327,950.3033654818912,1480.1971628335693,Looking center,Fixation,Fixation
492.56652342950684,1501.64992838142,950.9685431031526,1501.7874515454016,Blinking,Fixation,Fixation
492.56652342950684,1501.64992838142,950.9685431031526,1501.7874515454016,Blinking,Fixation,Fixation
492.56783829711117,1464.3219151536832,969.0886567766677,1468.7502522958926,Looking center,Saccade,Saccade
492.56783829711117,1464.3219151536832,969.0886567766677,1468.7502522958926,Looking center,Fixation,Fixation
484.54882710952074,1465.2635104137994,960.1298333857278,1474.5807136120716,Looking center,Fixation,Fixation
484.54882710952074,1465.2635104137994,960.1298333857278,1474.5807136120716,Looking center,Fixation,Fixation
