Timestamp,OCR_Text
1713470280843,play.
1713470472618,Text not found at the given point
1713470486412,Text not found at the given point
1713470500691,Text not found at the given point
1713470514383,Text not found at the given point
1713470528151,Text not found at the given point
1713470546618,atmosphere
1713472714396,play.
1713472733165,Text not found at the given point
1713472750968,Text not found at the given point
1713472757753,Text not found at the given point
1713472763675,Text not found at the given point
1713472770626,atmosphere
1713472779386,atmosphere
1713472789994,atmosphere
1713472794662,atmosphere
1713472808422,atmosphere
1713472818503,atmosphere
1713472808239,atmosphere
1713472828148,atmosphere
1713472841958,atmosphere
1713472842186,atmosphere
1713472853655,atmosphere
1713472855999,atmosphere
1713472866868,atmosphere
1713472873518,atmosphere
1713472879833,atmosphere
1713472885195,atmosphere
1713472892416,atmosphere
1713472897801,atmosphere
1713472908137,atmosphere
1713472913324,atmosphere
1713472932986,Text not found at the given point
1713472940782,Text not found at the given point
1713472945961,Text not found at the given point
1713472960515,Text not found at the given point
1713472965129,Text not found at the given point
1713472980201,Text not found at the given point
1713472980404,Text not found at the given point
1713472993239,atmosphere
1713473002019,atmosphere
1713473011204,Text not found at the given point
1713473023622,atmosphere
1713473019501,Text not found at the given point
1713473033056,atmosphere
1713473048709,Text not found at the given point
1713473442135,atmosphere
1713473448180,atmosphere
1713473453498,atmosphere
1713473460426,atmosphere
1713473465659,atmosphere
1713473477525,Text not found at the given point
1713473485615,Text not found at the given point
1713473496166,Text not found at the given point
1713474184006,Text not found at the given point
1713474203614,Text not found at the given point
1713474218354,Text not found at the given point
1713474226574,Text not found at the given point
1713474232356,Text not found at the given point
1713474246421,Text not found at the given point
1713474261270,Text not found at the given point
1713474269706,Text not found at the given point
1713474281040,Text not found at the given point
1713474295047,Text not found at the given point
1713474309792,Text not found at the given point
1713474314832,Text not found at the given point
1713474333360,Text not found at the given point
1713474338092,Text not found at the given point
1713474347298,Text not found at the given point
1713474361238,Text not found at the given point
1713474408789,Text not found at the given point
1713474407703,Text not found at the given point
1713474475668,Text not found at the given point
1713474555905,Text not found at the given point
1713474595129,Text not found at the given point
1713474604413,Text not found at the given point
1713474613298,Text not found at the given point
1713474797816,Text not found at the given point
1713474805211,Text not found at the given point
1713474821705,Text not found at the given point
1713474884396,Text not found at the given point
1713474899817,Text not found at the given point
1713476540109,Text not found at the given point
1713476555258,of
1713476561654,of
1713476567374,of
1713476580126,of
1713476584955,of
1713476598480,Text not found at the given point
1713476611098,Text not found at the given point
1713476754967,Text not found at the given point
1713476776906,Text not found at the given point
1713477981057,Text not found at the given point
1713477996263,Text not found at the given point
1713478012302,Text not found at the given point
1713478027661,Text not found at the given point
1713478040295,atmosphere
1713478050476,atmosphere
1713478072258,atmosphere
1713478081735,atmosphere
1713478087600,atmosphere
1713478101803,Text not found at the given point
1713478116360,atmosphere
1713478135201,Text not found at the given point
1713478149123,Text not found at the given point
1713478156372,atmosphere
1713478163226,atmosphere
1713478179421,Text not found at the given point
1713478204495,Text not found at the given point
1713478212592,Text not found at the given point
1713478218187,Text not found at the given point
1713478226059,Text not found at the given point
1713478232277,Text not found at the given point
1713478241318,Text not found at the given point
1713478248416,Text not found at the given point
1713478256828,Text not found at the given point
1713478261837,Text not found at the given point
1713478272001,Text not found at the given point
1713478277226,Text not found at the given point
1713478287345,Text not found at the given point
1713478292557,Text not found at the given point
1713478408965,Text not found at the given point
1713478484675,Text not found at the given point
1713478500183,Text not found at the given point
1713478515929,Text not found at the given point
1713478532891,Text not found at the given point
1713478547626,Text not found at the given point
1713478564548,Text not found at the given point
1713478559512,Text not found at the given point
1713478573833,Text not found at the given point
1713478581217,Text not found at the given point
1713478590224,Text not found at the given point
1713478599737,Text not found at the given point
1713478903682,Text not found at the given point
1713479160783,Text not found at the given point
1713479167588,Text not found at the given point
1713479173024,Text not found at the given point
1713479180414,Text not found at the given point
